Protein Name,DFR_Weights,DFR_Ranked_Weights,pDP_values,Sequence_Length
HXA1,39,8,0.6433,
HXA1,39,8,0.7401,
HXA1,39,8,0.8301,
HXA1,39,8,0.8821,
HXA1,39,8,0.9227,
HXA1,39,8,0.9487,
HXA1,39,8,0.9669,
HXA1,39,8,0.9695,
HXA1,39,8,0.9694,
HXA1,39,8,0.9658,
HXA1,39,8,0.9643,
HXA1,39,8,0.9607,
HXA1,39,8,0.9626,
HXA1,39,8,0.9657,
HXA1,39,8,0.9672,
HXA1,39,8,0.9684,
HXA1,39,8,0.9713,
HXA1,39,8,0.9734,
HXA1,39,8,0.9775,
HXA1,39,8,0.979,
HXA1,39,8,0.9794,
HXA1,39,8,0.9813,
HXA1,39,8,0.9805,
HXA1,39,8,0.9809,
HXA1,39,8,0.9813,
HXA1,39,8,0.9814,
HXA1,39,8,0.9816,
HXA1,39,8,0.9817,
HXA1,39,8,0.9817,
HXA1,39,8,0.9815,
HXA1,39,8,0.9812,
HXA1,39,8,0.9814,
HXA1,39,8,0.9807,
HXA1,39,8,0.9796,
HXA1,39,8,0.9784,
HXA1,39,8,0.9774,
HXA1,39,8,0.9748,
HXA1,39,8,0.975,
HXA1,39,8,0.975,
HXA1,39,8,0.9765,
HXA1,39,8,0.9784,
HXA1,39,8,0.9795,
HXA1,39,8,0.9804,
HXA1,39,8,0.981,
HXA1,39,8,0.9809,
HXA1,39,8,0.9805,
HXA1,39,8,0.9802,
HXA1,39,8,0.9791,
HXA1,39,8,0.9779,
HXA1,39,8,0.977,
HXA1,39,8,0.9784,
HXA1,39,8,0.9788,
HXA1,39,8,0.9773,
HXA2,38,25,0.6661,
HXA2,38,25,0.6057,
HXA2,38,25,0.631,
HXA2,38,25,0.7312,
HXA2,38,25,0.7711,
HXA2,38,25,0.8005,
HXA2,38,25,0.8268,
HXA2,38,25,0.8358,
HXA2,38,25,0.8579,
HXA2,38,25,0.8617,
HXA2,38,25,0.8807,
HXA2,38,25,0.8745,
HXA2,38,25,0.873,
HXA2,38,25,0.8697,
HXA2,38,25,0.8631,
HXA2,38,25,0.8465,
HXA2,38,25,0.8007,
HXA2,38,25,0.7856,
HXA2,38,25,0.7904,
HXA2,38,25,0.7979,
HXA2,38,25,0.8253,
HXA2,38,25,0.869,
HXA2,38,25,0.9054,
HXA2,38,25,0.9326,
HXA2,38,25,0.9531,
HXA2,38,25,0.9636,
HXA2,38,25,0.9715,
HXA2,38,25,0.9764,
HXA2,38,25,0.9787,
HXA2,38,25,0.9814,
HXA2,38,25,0.9835,
HXA2,38,25,0.9842,
HXA2,38,25,0.9846,
HXA2,38,25,0.9845,
HXA2,38,25,0.9843,
HXA2,38,25,0.9843,
HXA2,38,25,0.9844,
HXA2,38,25,0.9848,
HXA2,38,25,0.985,
HXA2,38,25,0.985,
HXA2,38,25,0.9851,
HXA2,38,25,0.985,
HXA2,38,25,0.9848,
HXA2,38,25,0.9843,
HXA2,38,25,0.984,
HXA2,38,25,0.9836,
HXA2,38,25,0.983,
HXA2,38,25,0.982,
HXA2,38,25,0.9819,
HXA2,38,25,0.9814,
HXA2,38,25,0.9808,
HXA2,38,25,0.981,
HXA2,38,25,0.9806,
HXA2,38,25,0.9797,
HXA2,38,25,0.9786,
HXA2,38,25,0.9764,
HXA2,38,25,0.9719,
HXA2,38,25,0.9649,
HXA2,38,25,0.9486,
HXA2,38,25,0.8938,
HXA2,38,25,0.8456,
HXA2,38,25,0.7659,
HXA2,38,25,0.7446,
HXA2,38,25,0.7064,
HXA2,38,25,0.6802,
HXA2,38,25,0.6456,
HXA2,38,25,0.6033,
HXA2,38,25,0.6433,
HXA2,38,25,0.7214,
HXA2,38,25,0.7342,
HXA2,38,25,0.7356,
HXA2,38,25,0.7573,
HXA2,38,25,0.7662,
HXA2,38,25,0.7816,
HXA2,38,25,0.7875,
HXA2,38,25,0.7856,
HXA2,38,25,0.7647,
HXA2,38,25,0.7452,
HXA2,38,25,0.7502,
HXA2,38,25,0.7418,
HXA2,38,25,0.7429,
HXA2,38,25,0.757,
HXA2,38,25,0.7893,
HXA2,38,25,0.8251,
HXA2,38,25,0.8581,
HXA2,38,25,0.8718,
HXA2,38,25,0.8706,
HXA2,38,25,0.8517,
HXA2,38,25,0.8531,
HXA2,38,25,0.8298,
HXA2,38,25,0.7821,
HXA2,38,25,0.7096,
HXA2,38,25,0.722,
HXA2,38,25,0.7931,
HXA2,38,25,0.8467,
HXA2,38,25,0.8897,
HXA2,38,25,0.9095,
HXA2,38,25,0.9267,
HXA2,38,25,0.9351,
HXA2,38,25,0.9423,
HXA2,38,25,0.9241,
HXA2,38,25,0.9139,
HXA2,38,25,0.8896,
HXA2,38,25,0.8436,
HXA2,38,25,0.761,
HXA2,38,25,0.6919,
HXA2,38,25,0.6508,
HXA2,38,25,0.6321,
HXA2,38,25,0.6419,
HXA2,38,25,0.6527,
HXA2,38,25,0.6602,
HXA2,38,25,0.676,
HXA2,38,25,0.6884,
HXA2,38,25,0.7186,
HXA2,38,25,0.7334,
HXA2,38,25,0.764,
HXA2,38,25,0.8589,
HXA2,38,25,0.894,
HXA2,38,25,0.9337,
HXA2,38,25,0.9431,
HXA2,38,25,0.9527,
HXA2,38,25,0.959,
HXA2,38,25,0.9628,
HXA2,38,25,0.9632,
HXA2,38,25,0.9577,
HXA2,38,25,0.9522,
HXA2,38,25,0.9434,
HXA2,38,25,0.9294,
HXA2,38,25,0.9306,
HXA2,38,25,0.929,
HXA2,38,25,0.9331,
HXA2,38,25,0.9374,
HXA2,38,25,0.9301,
HXA2,38,25,0.9208,
HXA2,38,25,0.9103,
HXA2,38,25,0.899,
HXA2,38,25,0.8693,
HXA2,38,25,0.826,
HXA2,38,25,0.7447,
HXA2,38,25,0.6867,
HXA2,38,25,0.619,
HXA2,38,25,0.6096,
HXA2,38,25,0.6375,
HXA2,38,25,0.6192,
HXA2,38,25,0.6031,
HXA2,38,25,0.7212,
HXA2,38,25,0.788,
HXA2,38,25,0.8713,
HXA2,38,25,0.9052,
HXA2,38,25,0.9255,
HXA2,38,25,0.9463,
HXA2,38,25,0.958,
HXA2,38,25,0.9636,
HXA2,38,25,0.9692,
HXA2,38,25,0.9699,
HXA2,38,25,0.971,
HXA2,38,25,0.9707,
HXA2,38,25,0.9718,
HXA2,38,25,0.971,
HXA2,38,25,0.9695,
HXA2,38,25,0.9633,
HXA2,38,25,0.9518,
HXA2,38,25,0.941,
HXA2,38,25,0.931,
HXA2,38,25,0.9124,
HXA2,38,25,0.8888,
HXA2,38,25,0.8665,
HXA2,38,25,0.8413,
HXA2,38,25,0.8128,
HXA2,38,25,0.7966,
HXA2,38,25,0.7663,
HXA2,38,25,0.7507,
HXA2,38,25,0.7194,
HXA2,38,25,0.6157,
HXA2,38,25,0.609,
HXA2,38,25,0.6652,
HXA2,38,25,0.7269,
HXA2,38,25,0.7484,
HXA2,38,25,0.7682,
HXA2,38,25,0.7279,
HXA2,38,25,0.6878,
HXA2,38,25,0.64,
HXA2,38,25,0.7094,
HXA2,38,25,0.7726,
HXA2,38,25,0.7934,
HXA2,38,25,0.8143,
HXA2,38,25,0.7872,
HXA2,38,25,0.8056,
HXA2,38,25,0.832,
HXA2,38,25,0.8478,
HXA2,38,25,0.8424,
HXA2,38,25,0.8619,
HXA2,38,25,0.8471,
HXA2,38,25,0.8153,
HXA2,38,25,0.7883,
HXA2,38,25,0.7497,
HXA2,38,25,0.7188,
HXA2,38,25,0.6864,
HXA2,38,25,0.6678,
HXA2,38,25,0.665,
HXA2,38,25,0.6452,
HXA3,37,2,0.8758,
HXA3,37,2,0.8598,
HXA3,37,2,0.8351,
HXA3,37,2,0.777,
HXA3,37,2,0.705,
HXA3,37,2,0.6526,
HXA3,37,2,0.6548,
HXA3,37,2,0.6883,
HXA3,37,2,0.6981,
HXA3,37,2,0.6817,
HXA3,37,2,0.6728,
HXA3,37,2,0.6547,
HXA3,37,2,0.6297,
HXA3,37,2,0.6113,
HXA3,37,2,0.6035,
HXA3,37,2,0.6262,
HXA3,37,2,0.6726,
HXA3,37,2,0.7281,
HXA3,37,2,0.7723,
HXA3,37,2,0.8578,
HXA3,37,2,0.8755,
HXA3,37,2,0.8888,
HXA3,37,2,0.8918,
HXA3,37,2,0.8927,
HXA3,37,2,0.8861,
HXA3,37,2,0.8813,
HXA3,37,2,0.8732,
HXA3,37,2,0.8686,
HXA3,37,2,0.8549,
HXA3,37,2,0.8457,
HXA3,37,2,0.8306,
HXA3,37,2,0.8145,
HXA3,37,2,0.7952,
HXA3,37,2,0.7832,
HXA3,37,2,0.8049,
HXA3,37,2,0.8207,
HXA3,37,2,0.8385,
HXA3,37,2,0.8521,
HXA3,37,2,0.8674,
HXA3,37,2,0.8927,
HXA3,37,2,0.9165,
HXA3,37,2,0.9395,
HXA3,37,2,0.9543,
HXA3,37,2,0.9603,
HXA3,37,2,0.9624,
HXA3,37,2,0.9646,
HXA3,37,2,0.9615,
HXA3,37,2,0.957,
HXA3,37,2,0.9484,
HXA3,37,2,0.9332,
HXA3,37,2,0.9141,
HXA3,37,2,0.8895,
HXA3,37,2,0.8696,
HXA3,37,2,0.806,
HXA3,37,2,0.7341,
HXA3,37,2,0.6939,
HXA3,37,2,0.6562,
HXA3,37,2,0.6283,
HXA3,37,2,0.6456,
HXA3,37,2,0.6585,
HXA3,37,2,0.6989,
HXA3,37,2,0.8435,
HXA3,37,2,0.9004,
HXA3,37,2,0.9294,
HXA3,37,2,0.9488,
HXA3,37,2,0.9647,
HXA3,37,2,0.9722,
HXA3,37,2,0.9766,
HXA3,37,2,0.9793,
HXA3,37,2,0.9817,
HXA3,37,2,0.9822,
HXA3,37,2,0.982,
HXA3,37,2,0.9823,
HXA3,37,2,0.9816,
HXA3,37,2,0.9815,
HXA3,37,2,0.9812,
HXA3,37,2,0.9809,
HXA3,37,2,0.9812,
HXA3,37,2,0.9814,
HXA3,37,2,0.9814,
HXA3,37,2,0.9817,
HXA3,37,2,0.9825,
HXA3,37,2,0.9831,
HXA3,37,2,0.9833,
HXA3,37,2,0.9833,
HXA3,37,2,0.9834,
HXA3,37,2,0.9833,
HXA3,37,2,0.9832,
HXA3,37,2,0.9836,
HXA3,37,2,0.9837,
HXA3,37,2,0.9838,
HXA3,37,2,0.9839,
HXA3,37,2,0.984,
HXA3,37,2,0.984,
HXA3,37,2,0.9841,
HXA3,37,2,0.984,
HXA3,37,2,0.984,
HXA3,37,2,0.9839,
HXA3,37,2,0.9838,
HXA3,37,2,0.9839,
HXA3,37,2,0.9836,
HXA3,37,2,0.9835,
HXA3,37,2,0.9835,
HXA3,37,2,0.9834,
HXA3,37,2,0.9832,
HXA3,37,2,0.9831,
HXA3,37,2,0.9831,
HXA3,37,2,0.9831,
HXA3,37,2,0.9832,
HXA3,37,2,0.9836,
HXA3,37,2,0.9835,
HXA3,37,2,0.9836,
HXA3,37,2,0.9837,
HXA3,37,2,0.984,
HXA3,37,2,0.9842,
HXA3,37,2,0.9843,
HXA3,37,2,0.9841,
HXA3,37,2,0.9839,
HXA3,37,2,0.983,
HXA3,37,2,0.9809,
HXA3,37,2,0.9784,
HXA3,37,2,0.9762,
HXA3,37,2,0.9729,
HXA3,37,2,0.9706,
HXA3,37,2,0.9696,
HXA3,37,2,0.9664,
HXA3,37,2,0.9659,
HXA3,37,2,0.9636,
HXA3,37,2,0.963,
HXA3,37,2,0.9592,
HXA3,37,2,0.9563,
HXA3,37,2,0.9528,
HXA3,37,2,0.95,
HXA3,37,2,0.9469,
HXA3,37,2,0.9371,
HXA3,37,2,0.9307,
HXA3,37,2,0.9228,
HXA3,37,2,0.9152,
HXA3,37,2,0.901,
HXA3,37,2,0.8615,
HXA3,37,2,0.841,
HXA3,37,2,0.8434,
HXA3,37,2,0.8526,
HXA3,37,2,0.8659,
HXA3,37,2,0.876,
HXA3,37,2,0.8948,
HXA3,37,2,0.9293,
HXA3,37,2,0.938,
HXA3,37,2,0.9503,
HXA3,37,2,0.9603,
HXA3,37,2,0.9662,
HXA3,37,2,0.9727,
HXA3,37,2,0.9755,
HXA3,37,2,0.978,
HXA3,37,2,0.9797,
HXA3,37,2,0.9819,
HXA3,37,2,0.9824,
HXA3,37,2,0.9826,
HXA3,37,2,0.9828,
HXA3,37,2,0.9814,
HXA3,37,2,0.9814,
HXA3,37,2,0.9815,
HXA3,37,2,0.9814,
HXA3,37,2,0.9821,
HXA3,37,2,0.9822,
HXA3,37,2,0.9824,
HXA3,37,2,0.9829,
HXA3,37,2,0.9829,
HXA3,37,2,0.983,
HXA3,37,2,0.9833,
HXA3,37,2,0.983,
HXA3,37,2,0.9821,
HXA3,37,2,0.9821,
HXA3,37,2,0.982,
HXA3,37,2,0.9821,
HXA3,37,2,0.9818,
HXA3,37,2,0.9812,
HXA3,37,2,0.9802,
HXA3,37,2,0.9789,
HXA3,37,2,0.9744,
HXA3,37,2,0.9687,
HXA3,37,2,0.9476,
HXA3,37,2,0.9293,
HXA3,37,2,0.917,
HXA3,37,2,0.8874,
HXA3,37,2,0.8544,
HXA3,37,2,0.7845,
HXA3,37,2,0.7177,
HXA3,37,2,0.6449,
HXA3,37,2,0.6063,
HXA3,37,2,0.6057,
HXA3,37,2,0.639,
HXA3,37,2,0.7244,
HXA3,37,2,0.8182,
HXA3,37,2,0.8912,
HXA3,37,2,0.9447,
HXA3,37,2,0.9649,
HXA3,37,2,0.9739,
HXA3,37,2,0.975,
HXA3,37,2,0.9768,
HXA3,37,2,0.9771,
HXA3,37,2,0.9761,
HXA3,37,2,0.9744,
HXA3,37,2,0.9743,
HXA3,37,2,0.9757,
HXA3,37,2,0.9768,
HXA3,37,2,0.9765,
HXA3,37,2,0.975,
HXA3,37,2,0.9727,
HXA3,37,2,0.9706,
HXA3,37,2,0.9682,
HXA3,37,2,0.9663,
HXA3,37,2,0.9617,
HXA3,37,2,0.9602,
HXA3,37,2,0.9573,
HXA3,37,2,0.9544,
HXA3,37,2,0.9514,
HXA3,37,2,0.9383,
HXA3,37,2,0.9097,
HXA3,37,2,0.8926,
HXA3,37,2,0.87,
HXA3,37,2,0.8439,
HXA3,37,2,0.8339,
HXA3,37,2,0.7934,
HXA3,37,2,0.7525,
HXA3,37,2,0.7164,
HXA3,37,2,0.6933,
HXA3,37,2,0.6855,
HXA3,37,2,0.7334,
HXA3,37,2,0.7755,
HXA3,37,2,0.8119,
HXA3,37,2,0.8422,
HXA3,37,2,0.8789,
HXA3,37,2,0.8974,
HXA3,37,2,0.9059,
HXA3,37,2,0.9149,
HXA3,37,2,0.9055,
HXA3,37,2,0.8984,
HXA3,37,2,0.8995,
HXA3,37,2,0.9021,
HXA3,37,2,0.9087,
HXA3,37,2,0.9088,
HXA3,37,2,0.9238,
HXA3,37,2,0.9225,
HXA3,37,2,0.9186,
HXA3,37,2,0.9195,
HXA3,37,2,0.9137,
HXA3,37,2,0.9152,
HXA3,37,2,0.9092,
HXA3,37,2,0.9193,
HXA3,37,2,0.9212,
HXA3,37,2,0.9303,
HXA3,37,2,0.9323,
HXA3,37,2,0.9384,
HXA3,37,2,0.9368,
HXA3,37,2,0.9347,
HXA3,37,2,0.9324,
HXA3,37,2,0.9305,
HXA3,37,2,0.9284,
HXA3,37,2,0.9213,
HXA3,37,2,0.9237,
HXA3,37,2,0.9234,
HXA3,37,2,0.9217,
HXA3,37,2,0.9156,
HXA3,37,2,0.9179,
HXA3,37,2,0.9016,
HXA3,37,2,0.8844,
HXA3,37,2,0.8827,
HXA3,37,2,0.8797,
HXA3,37,2,0.8868,
HXA3,37,2,0.8846,
HXA3,37,2,0.9029,
HXA3,37,2,0.9159,
HXA3,37,2,0.9322,
HXA3,37,2,0.9411,
HXA3,37,2,0.9462,
HXA3,37,2,0.9485,
HXA3,37,2,0.9555,
HXA3,37,2,0.9567,
HXA3,37,2,0.9613,
HXA3,37,2,0.9694,
HXA3,37,2,0.9721,
HXA3,37,2,0.972,
HXA3,37,2,0.9719,
HXA3,37,2,0.9706,
HXA3,37,2,0.9651,
HXA3,37,2,0.9589,
HXA3,37,2,0.9581,
HXA3,37,2,0.9604,
HXA3,37,2,0.9619,
HXA3,37,2,0.9658,
HXA3,37,2,0.9667,
HXA3,37,2,0.9664,
HXA3,37,2,0.9651,
HXA3,37,2,0.9634,
HXA3,37,2,0.9626,
HXA3,37,2,0.9635,
HXA3,37,2,0.9626,
HXA3,37,2,0.9629,
HXA3,37,2,0.9584,
HXA3,37,2,0.9541,
HXA3,37,2,0.9517,
HXA3,37,2,0.9417,
HXA3,37,2,0.9346,
HXA3,37,2,0.925,
HXA3,37,2,0.9089,
HXA3,37,2,0.8961,
HXA3,37,2,0.8795,
HXA3,37,2,0.8596,
HXA3,37,2,0.8414,
HXA3,37,2,0.8019,
HXA3,37,2,0.7827,
HXA3,37,2,0.7605,
HXA3,37,2,0.7772,
HXA3,37,2,0.733,
HXA3,37,2,0.7125,
HXA3,37,2,0.7071,
HXA3,37,2,0.735,
HXA3,37,2,0.7997,
HXA3,37,2,0.8161,
HXA3,37,2,0.8512,
HXA3,37,2,0.8612,
HXA3,37,2,0.8832,
HXA3,37,2,0.8783,
HXA3,37,2,0.8626,
HXA3,37,2,0.8523,
HXA3,37,2,0.825,
HXA3,37,2,0.8195,
HXA3,37,2,0.8183,
HXA3,37,2,0.8064,
HXA3,37,2,0.8102,
HXA3,37,2,0.822,
HXA3,37,2,0.8657,
HXA3,37,2,0.8904,
HXA3,37,2,0.9157,
HXA3,37,2,0.9261,
HXA3,37,2,0.9358,
HXA3,37,2,0.9449,
HXA3,37,2,0.9525,
HXA3,37,2,0.9573,
HXA3,37,2,0.9616,
HXA3,37,2,0.9635,
HXA3,37,2,0.9659,
HXA3,37,2,0.9713,
HXA3,37,2,0.978,
HXA3,37,2,0.9809,
HXA3,37,2,0.9817,
HXA3,37,2,0.9822,
HXA3,37,2,0.9826,
HXA3,37,2,0.9827,
HXA3,37,2,0.9825,
HXA3,37,2,0.9824,
HXA3,37,2,0.9819,
HXA3,37,2,0.9811,
HXA3,37,2,0.9804,
HXA3,37,2,0.9784,
HXA3,37,2,0.9771,
HXA3,37,2,0.9769,
HXA3,37,2,0.9756,
HXA3,37,2,0.9747,
HXA3,37,2,0.9706,
HXA3,37,2,0.9652,
HXA3,37,2,0.9599,
HXA3,37,2,0.952,
HXA3,37,2,0.9411,
HXA3,37,2,0.9344,
HXA3,37,2,0.9303,
HXA3,37,2,0.9262,
HXA3,37,2,0.9351,
HXA3,37,2,0.9411,
HXA3,37,2,0.9472,
HXA3,37,2,0.9464,
HXA3,37,2,0.9442,
HXA3,37,2,0.9452,
HXA3,37,2,0.9394,
HXA3,37,2,0.9248,
HXA3,37,2,0.9294,
HXA3,37,2,0.9129,
HXA3,37,2,0.9023,
HXA3,37,2,0.8767,
HXA3,37,2,0.8611,
HXA3,37,2,0.8762,
HXA3,37,2,0.9104,
HXA3,37,2,0.9199,
HXA3,37,2,0.9358,
HXA3,37,2,0.9594,
HXA3,37,2,0.9613,
HXA3,37,2,0.9555,
HXA4,36,13,0.9045,
HXA4,36,13,0.9291,
HXA4,36,13,0.9406,
HXA4,36,13,0.933,
HXA4,36,13,0.9206,
HXA4,36,13,0.909,
HXA4,36,13,0.8981,
HXA4,36,13,0.8818,
HXA4,36,13,0.8836,
HXA4,36,13,0.8572,
HXA4,36,13,0.8252,
HXA4,36,13,0.8157,
HXA4,36,13,0.7979,
HXA4,36,13,0.8125,
HXA4,36,13,0.7913,
HXA4,36,13,0.7572,
HXA4,36,13,0.7083,
HXA4,36,13,0.7007,
HXA4,36,13,0.7195,
HXA4,36,13,0.7502,
HXA4,36,13,0.7828,
HXA4,36,13,0.8677,
HXA4,36,13,0.9207,
HXA4,36,13,0.9384,
HXA4,36,13,0.9508,
HXA4,36,13,0.959,
HXA4,36,13,0.9649,
HXA4,36,13,0.9683,
HXA4,36,13,0.9709,
HXA4,36,13,0.9715,
HXA4,36,13,0.9749,
HXA4,36,13,0.979,
HXA4,36,13,0.9794,
HXA4,36,13,0.9802,
HXA4,36,13,0.981,
HXA4,36,13,0.9817,
HXA4,36,13,0.9814,
HXA4,36,13,0.9812,
HXA4,36,13,0.9812,
HXA4,36,13,0.9804,
HXA4,36,13,0.9795,
HXA4,36,13,0.9772,
HXA4,36,13,0.9758,
HXA4,36,13,0.9728,
HXA4,36,13,0.9619,
HXA4,36,13,0.9564,
HXA4,36,13,0.9494,
HXA4,36,13,0.9411,
HXA4,36,13,0.9334,
HXA4,36,13,0.9186,
HXA4,36,13,0.8925,
HXA4,36,13,0.8708,
HXA4,36,13,0.8523,
HXA4,36,13,0.8435,
HXA4,36,13,0.8163,
HXA4,36,13,0.8178,
HXA4,36,13,0.8115,
HXA4,36,13,0.8341,
HXA4,36,13,0.8683,
HXA4,36,13,0.9359,
HXA4,36,13,0.9543,
HXA4,36,13,0.9561,
HXA4,36,13,0.9574,
HXA4,36,13,0.9564,
HXA4,36,13,0.9509,
HXA4,36,13,0.9499,
HXA4,36,13,0.9383,
HXA4,36,13,0.932,
HXA4,36,13,0.9321,
HXA4,36,13,0.9222,
HXA4,36,13,0.9165,
HXA4,36,13,0.9132,
HXA4,36,13,0.9089,
HXA4,36,13,0.9175,
HXA4,36,13,0.927,
HXA4,36,13,0.9329,
HXA4,36,13,0.9377,
HXA4,36,13,0.946,
HXA4,36,13,0.9477,
HXA4,36,13,0.9534,
HXA4,36,13,0.9522,
HXA4,36,13,0.9498,
HXA4,36,13,0.9474,
HXA4,36,13,0.9437,
HXA4,36,13,0.9442,
HXA4,36,13,0.943,
HXA4,36,13,0.9416,
HXA4,36,13,0.9375,
HXA4,36,13,0.9401,
HXA4,36,13,0.9444,
HXA4,36,13,0.9519,
HXA4,36,13,0.9552,
HXA4,36,13,0.9591,
HXA4,36,13,0.9622,
HXA4,36,13,0.959,
HXA4,36,13,0.9553,
HXA4,36,13,0.9538,
HXA4,36,13,0.9587,
HXA4,36,13,0.9588,
HXA4,36,13,0.9604,
HXA4,36,13,0.9623,
HXA4,36,13,0.9635,
HXA4,36,13,0.9664,
HXA4,36,13,0.9704,
HXA4,36,13,0.9732,
HXA4,36,13,0.9755,
HXA4,36,13,0.9775,
HXA4,36,13,0.9785,
HXA4,36,13,0.9791,
HXA4,36,13,0.9788,
HXA4,36,13,0.978,
HXA4,36,13,0.9745,
HXA4,36,13,0.9726,
HXA4,36,13,0.9689,
HXA4,36,13,0.9673,
HXA4,36,13,0.9642,
HXA4,36,13,0.9629,
HXA4,36,13,0.9665,
HXA4,36,13,0.9726,
HXA4,36,13,0.9742,
HXA4,36,13,0.9754,
HXA4,36,13,0.9752,
HXA4,36,13,0.9756,
HXA4,36,13,0.9748,
HXA4,36,13,0.9751,
HXA4,36,13,0.9732,
HXA4,36,13,0.9713,
HXA4,36,13,0.967,
HXA4,36,13,0.9619,
HXA4,36,13,0.9532,
